RespId	ExpId	Username	Cond	Result	Block	Target	Distractors	Distractors.stem	Distractors.col	Distractors.num	Target.training.views	Unseen
6c4052fdq-1067-4fc4-1407_1	6c4052fdq-1067-4fc4-1407	AQORJW4W8U9YU	Complex	FALSE	1	nikavoni	sobasumu,nikanida,nikatida	2	0	1	2	FALSE
6c4052fdq-1067-4fc4-1407_2	6c4052fdq-1067-4fc4-1407	AQORJW4W8U9YU	Complex	TRUE	1	nikanida	nikavoni,sobavoti,kalivoti	1	0	1	2	FALSE
6c4052fdq-1067-4fc4-1407_3	6c4052fdq-1067-4fc4-1407	AQORJW4W8U9YU	Complex	TRUE	1	sobasumu	nikatida,nikamuni,nikavoni	0	1	0	2	FALSE
6c4052fdq-1067-4fc4-1407_4	6c4052fdq-1067-4fc4-1407	AQORJW4W8U9YU	Complex	TRUE	1	kalisuda	nikavoni,nikamuni,kalivoti	1	0	0	2	FALSE
6c4052fdq-1067-4fc4-1407_5	6c4052fdq-1067-4fc4-1407	AQORJW4W8U9YU	Complex	TRUE	1	nikamuni	nikanida,sobavoti,sobasumu	1	1	1	2	FALSE
6c4052fdq-1067-4fc4-1407_6	6c4052fdq-1067-4fc4-1407	AQORJW4W8U9YU	Complex	TRUE	1	kalivoti	nikatida,kalisuda,nikanida	1	0	1	2	FALSE
6c4052fdq-1067-4fc4-1407_7	6c4052fdq-1067-4fc4-1407	AQORJW4W8U9YU	Complex	TRUE	1	nikatida	nikanida,kalivoti,sobasumu	1	1	1	2	FALSE
6c4052fdq-1067-4fc4-1407_8	6c4052fdq-1067-4fc4-1407	AQORJW4W8U9YU	Complex	TRUE	1	sobavoti	nikatida,nikavoni,kalisuda	0	1	1	2	FALSE
6c4052fdq-1067-4fc4-1407_9	6c4052fdq-1067-4fc4-1407	AQORJW4W8U9YU	Complex	TRUE	2	nikanida	sobanida,kalitida,kalivoni	0	2	2	3	FALSE
6c4052fdq-1067-4fc4-1407_10	6c4052fdq-1067-4fc4-1407	AQORJW4W8U9YU	Complex	TRUE	2	sobavoti	fugivoti,kalisuvo,sobasumu	1	2	1	3	FALSE
