RespId	ExpId	Username	Cond	Result	Block	Target	Response	Distractors	Infl.distract	Colour.result	Number.result	Response.time	Unseen	Target.training	Target.training.views
fdfe2557q-79ad-3db4-2df5_1	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	1	nikavosu	nikavoti	nikavoti,nikasuda,nikadati	TRUE	TRUE	FALSE	4370	FALSE	NA	2
fdfe2557q-79ad-3db4-2df5_2	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	TRUE	1	fugidati	fugidati	fugivosu,fugidasu,fugitivo	TRUE	TRUE	TRUE	2132	FALSE	NA	2
fdfe2557q-79ad-3db4-2df5_3	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	1	sobasuvo	sobadati	sobavoti,sobadati,sobadasu	TRUE	FALSE	FALSE	1582	FALSE	NA	2
fdfe2557q-79ad-3db4-2df5_4	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	TRUE	1	kalitivo	kalitivo	kalidasu,kalidati,kalivosu	TRUE	TRUE	TRUE	16976	FALSE	NA	2
fdfe2557q-79ad-3db4-2df5_5	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	1	nikavosu	sobavosu	fugivosu,kalisuvo,sobavosu	FALSE	TRUE	TRUE	3673	FALSE	NA	NA
fdfe2557q-79ad-3db4-2df5_6	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	1	kalidati	kalivoti	kalivosu,kalivoti,kalidasu	TRUE	FALSE	TRUE	2395	FALSE	NA	2
fdfe2557q-79ad-3db4-2df5_7	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	1	fugidasu	nikadasu	sobasuda,nikadasu,kalidasu	FALSE	TRUE	TRUE	2165	FALSE	NA	NA
fdfe2557q-79ad-3db4-2df5_8	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	1	nikadasu	nikasuvo	nikavoti,nikasuvo,nikatida	TRUE	FALSE	TRUE	20774	FALSE	NA	2
fdfe2557q-79ad-3db4-2df5_9	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	1	sobativo	kalitivo	fugitivo,nikavoti,kalitivo	FALSE	TRUE	TRUE	2092	FALSE	NA	NA
fdfe2557q-79ad-3db4-2df5_10	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	1	sobativo	sobadasu	sobadasu,sobadati,sobasuvo	TRUE	FALSE	FALSE	2072	FALSE	NA	2
fdfe2557q-79ad-3db4-2df5_11	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	TRUE	1	kalitida	kalitida	nikatida,fugitida,sobadati	FALSE	TRUE	TRUE	2024	FALSE	NA	NA
fdfe2557q-79ad-3db4-2df5_12	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	TRUE	1	fugidasu	fugidasu	fugidati,fugivoti,fugivosu	TRUE	TRUE	TRUE	1592	FALSE	NA	2
fdfe2557q-79ad-3db4-2df5_13	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	2	sobativo	sobavoni	sobanida,sobavoni,sobadati	TRUE	TRUE	FALSE	2123	FALSE	NA	3
fdfe2557q-79ad-3db4-2df5_14	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	2	nikanimu	nikamuti	nikavoni,nikamuti,nikavoti	TRUE	TRUE	FALSE	2160	FALSE	NA	1
fdfe2557q-79ad-3db4-2df5_15	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	2	kalinimu	kalinida	kalinida,kalidati,kalitimu	TRUE	FALSE	TRUE	1931	FALSE	NA	1
fdfe2557q-79ad-3db4-2df5_16	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	2	fuginida	sobadani	nikanida,kalinida,sobadani	FALSE	TRUE	TRUE	1221	TRUE	NA	NA
fdfe2557q-79ad-3db4-2df5_17	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	2	nikavosu	nikamuti	nikativo,nikamuti,nikasumu	TRUE	FALSE	FALSE	2169	FALSE	NA	3
fdfe2557q-79ad-3db4-2df5_18	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	TRUE	2	fugisuda	fugisuda	fugivoni,fugidani,fugisuvo	TRUE	TRUE	TRUE	1424	FALSE	NA	3
fdfe2557q-79ad-3db4-2df5_19	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	TRUE	2	kalivoti	kalivoti	kalitimu,kalisuvo,kalisumu	TRUE	TRUE	TRUE	2687	FALSE	NA	3
fdfe2557q-79ad-3db4-2df5_20	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	2	sobadani	sobadati	sobamuni,sobatimu,sobadati	TRUE	TRUE	FALSE	2456	FALSE	NA	1
fdfe2557q-79ad-3db4-2df5_21	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	2	fugivoni	fugimuni	fugimuni,fugimuti,fugivoti	TRUE	FALSE	TRUE	1686	FALSE	NA	1
fdfe2557q-79ad-3db4-2df5_22	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	2	fugitida	fugisuda	fugisuvo,fugisuda,fugivoti	TRUE	TRUE	FALSE	2351	FALSE	NA	3
fdfe2557q-79ad-3db4-2df5_23	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	2	fuginimu	fugisumu	fugisuda,fugisumu,fuginida	TRUE	TRUE	FALSE	1805	FALSE	NA	1
fdfe2557q-79ad-3db4-2df5_24	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	2	nikadasu	nikamusu	nikamuni,nikanida,nikamusu	TRUE	FALSE	TRUE	1284	FALSE	NA	3
fdfe2557q-79ad-3db4-2df5_25	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	TRUE	2	nikamusu	nikamusu	nikanivo,nikasuvo,nikamuni	TRUE	TRUE	TRUE	1860	FALSE	NA	1
fdfe2557q-79ad-3db4-2df5_26	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	2	kalitida	kalitimu	kalitimu,kalimuni,kalinida	TRUE	FALSE	TRUE	3159	FALSE	NA	3
fdfe2557q-79ad-3db4-2df5_27	fdfe2557q-79ad-3db4-2df5	A1QVNF19XSRSD7	Random	FALSE	2	kalimuti	fugimuti	nikatimu,fugimuti,sobamuti	FALSE	TRUE	TRUE	4666	FALSE	NA	NA
